모델,학습기간,RMSE,MAPE
XGBoost(차이 예측),최근 8주,145.19,4.12
XGBoost(차이 예측),최근 1년,130.94,2.99
XGBoost(차이 예측),전체(2022~),110.26,2.58
LightGBM(차이 예측),최근 8주,152.43,4.31
LightGBM(차이 예측),최근 1년,126.38,2.89
LightGBM(차이 예측),전체(2022~),113.54,2.58
랜덤포레스트(차이 예측),최근 8주,147.94,4.29
랜덤포레스트(차이 예측),최근 1년,146.40,3.31
랜덤포레스트(차이 예측),전체(2022~),137.95,3.18
