기준일자,기준시,본부명,전력사용량,고객호수
2024-12-31,11,강원본부,2071,800741
2024-12-31,12,강원본부,2019,801204
2024-12-31,13,강원본부,2004,801349
2024-12-31,14,강원본부,2047,801626
2024-12-31,15,강원본부,1995,801947
2024-12-31,16,강원본부,1943,802161
2024-12-31,17,강원본부,1936,802264
2024-12-31,18,강원본부,1990,802283
2024-12-31,19,강원본부,1975,802237
2024-12-31,20,강원본부,1963,802157
2024-12-31,21,강원본부,1953,802137
2024-12-31,22,강원본부,1996,802251
2024-12-31,23,강원본부,2263,802541
2024-12-31,24,강원본부,2420,802271
2024-12-31,01,충북본부,2748,761543
2024-12-31,02,충북본부,2664,761244
2024-12-31,03,충북본부,2622,760889
2024-12-31,04,충북본부,2615,760821
2024-12-31,05,충북본부,2654,760955
2024-12-31,06,충북본부,2714,761056
2024-12-31,07,충북본부,2816,760827
2024-12-31,08,충북본부,2970,760845
2024-12-31,09,충북본부,3168,760838
2024-12-31,10,충북본부,3199,760691
2024-12-31,11,충북본부,3155,761165
2024-12-31,12,충북본부,3081,761537
2024-12-31,13,충북본부,2916,761877
2024-12-31,14,충북본부,2938,762111
2024-12-31,15,충북본부,2933,762262
2024-12-31,16,충북본부,2861,762351
2024-12-31,17,충북본부,2813,762404
2024-12-31,18,충북본부,2769,762211
2024-12-31,19,충북본부,2728,762109
2024-12-31,20,충북본부,2691,762008
2024-12-31,21,충북본부,2664,761927
2024-12-31,22,충북본부,2638,761866
2024-12-31,23,충북본부,2739,761864
2024-12-31,24,충북본부,2841,761815
2024-12-31,01,대전세종충남본부,6695,1425182
2024-12-31,02,대전세종충남본부,6560,1414829
2024-12-31,03,대전세종충남본부,6442,1412619
2024-12-31,04,대전세종충남본부,6417,1412228
2024-12-31,05,대전세종충남본부,6467,1411548
2024-12-31,06,대전세종충남본부,6495,1411106
2024-12-31,07,대전세종충남본부,6727,1409964
2024-12-31,08,대전세종충남본부,7210,1408768
2024-12-31,09,대전세종충남본부,7812,1410443
2024-12-31,10,대전세종충남본부,7830,1412209
2024-12-31,11,대전세종충남본부,7775,1414459
2024-12-31,12,대전세종충남본부,7716,1416875
2024-12-31,13,대전세종충남본부,7354,1418398
2024-12-31,14,대전세종충남본부,7513,1419516
2024-12-31,15,대전세종충남본부,7287,1420744
2024-12-31,16,대전세종충남본부,7201,1420698
2024-12-31,17,대전세종충남본부,7218,1420941
2024-12-31,18,대전세종충남본부,7220,1422316
2024-12-31,19,대전세종충남본부,7098,1421867
2024-12-31,20,대전세종충남본부,7093,1422140
2024-12-31,21,대전세종충남본부,6921,1423004
2024-12-31,22,대전세종충남본부,6800,1424757
2024-12-31,23,대전세종충남본부,6759,1426972
2024-12-31,24,대전세종충남본부,6717,1428126
2024-12-31,01,전북본부,2236,776749
2024-12-31,02,전북본부,2154,777091
2024-12-31,03,전북본부,2102,776856
2024-12-31,04,전북본부,2086,776765
2024-12-31,05,전북본부,2078,776918
2024-12-31,06,전북본부,2151,776868
2024-12-31,07,전북본부,2228,776328
2024-12-31,08,전북본부,2420,776025
2024-12-31,09,전북본부,2594,776060
2024-12-31,10,전북본부,2648,775826
2024-12-31,11,전북본부,2576,776256
2024-12-31,12,전북본부,2487,776917
2024-12-31,13,전북본부,2379,776415
2024-12-31,14,전북본부,2425,776925
2024-12-31,15,전북본부,2390,777995
2024-12-31,16,전북본부,2356,778442
2024-12-31,17,전북본부,2335,778688
2024-12-31,18,전북본부,2354,778561
2024-12-31,19,전북본부,2333,778399
2024-12-31,20,전북본부,2304,778107
2024-12-31,21,전북본부,2283,778082
2024-12-31,22,전북본부,2276,777944
2024-12-31,23,전북본부,2378,777860
2024-12-31,24,전북본부,2389,777843
2024-12-31,01,광주전남본부,5368,1219659
2024-12-31,02,광주전남본부,5248,1219375
2024-12-31,03,광주전남본부,5205,1219448
2024-12-31,04,광주전남본부,5171,1219487
2024-12-31,05,광주전남본부,5178,1219372
2024-12-31,06,광주전남본부,5259,1219327
2024-12-31,07,광주전남본부,5406,1219510
2024-12-31,08,광주전남본부,5736,1219441
2024-12-31,09,광주전남본부,6119,1219508
2024-12-31,10,광주전남본부,6062,1219484
2024-12-31,11,광주전남본부,6042,1219507
2024-12-31,12,광주전남본부,5989,1219696
2024-12-31,13,광주전남본부,5880,1220066
2024-12-31,14,광주전남본부,5976,1220464
2024-12-31,15,광주전남본부,5931,1220773
2024-12-31,16,광주전남본부,5867,1220711
2024-12-31,17,광주전남본부,5778,1221053
2024-12-31,18,광주전남본부,5787,1220813
2024-12-31,19,광주전남본부,5779,1220961
2024-12-31,20,광주전남본부,5746,1220756
2024-12-31,21,광주전남본부,5662,1220940
2024-12-31,22,광주전남본부,5576,1220706
2024-12-31,23,광주전남본부,5599,1220143
2024-12-31,24,광주전남본부,5536,1220054
2024-12-31,01,대구본부,3754,1464760
2024-12-31,02,대구본부,3591,1464809
2024-12-31,03,대구본부,3507,1464957
2024-12-31,04,대구본부,3455,1464694
2024-12-31,05,대구본부,3407,1464718
2024-12-31,06,대구본부,3471,1464427
2024-12-31,07,대구본부,3700,1463776
2024-12-31,08,대구본부,4102,1463166
2024-12-31,09,대구본부,4785,1460228
2024-12-31,10,대구본부,5010,1460029
2024-12-31,11,대구본부,5014,1462699
2024-12-31,12,대구본부,4874,1462962
2024-12-31,13,대구본부,4540,1463056
2024-12-31,14,대구본부,4682,1463095
2024-12-31,15,대구본부,4627,1463399
2024-12-31,16,대구본부,4470,1463521
2024-12-31,17,대구본부,4334,1463544
2024-12-31,18,대구본부,4219,1463303
2024-12-31,19,대구본부,4112,1463120
2024-12-31,20,대구본부,4059,1462842
2024-12-31,21,대구본부,3986,1463465
2024-12-31,22,대구본부,3875,1463917
2024-12-31,23,대구본부,3837,1463840
2024-12-31,24,대구본부,3787,1464189
2024-12-31,01,경북본부,1726,640596
2024-12-31,02,경북본부,1663,640491
2024-12-31,03,경북본부,1632,640613
2024-12-31,04,경북본부,1607,640614
2024-12-31,05,경북본부,1618,640498
2024-12-31,06,경북본부,1651,640488
2024-12-31,07,경북본부,1696,640476
2024-12-31,08,경북본부,1777,640285
2024-12-31,09,경북본부,1909,640156
2024-12-31,10,경북본부,1927,640207
2024-12-31,11,경북본부,1899,640339
2024-12-31,12,경북본부,1866,640397
2024-12-31,13,경북본부,1794,640436
2024-12-31,14,경북본부,1827,640490
2024-12-31,15,경북본부,1811,640782
2024-12-31,16,경북본부,1787,641011
2024-12-31,17,경북본부,1772,641165
2024-12-31,18,경북본부,1768,641238
2024-12-31,19,경북본부,1741,641291
2024-12-31,20,경북본부,1715,641197
2024-12-31,21,경북본부,1687,641308
2024-12-31,22,경북본부,1660,641372
2024-12-31,23,경북본부,1662,641324
2024-12-31,24,경북본부,1787,641265
2024-12-31,01,부산울산본부,5999,1451547
2024-12-31,02,부산울산본부,5870,1451754
2024-12-31,03,부산울산본부,5754,1451572
2024-12-31,04,부산울산본부,5671,1451786
2024-12-31,05,부산울산본부,5702,1451990
2024-12-31,06,부산울산본부,5827,1451921
2024-12-31,07,부산울산본부,6131,1451512
2024-12-31,08,부산울산본부,6745,1451127
2024-12-31,09,부산울산본부,7270,1451128
2024-12-31,10,부산울산본부,7582,1451141
2024-12-31,11,부산울산본부,7607,1451513
2024-12-31,12,부산울산본부,7453,1451748
2024-12-31,13,부산울산본부,7058,1452044
2024-12-31,14,부산울산본부,7308,1452473
2024-12-31,15,부산울산본부,7208,1452733
2024-12-31,16,부산울산본부,6979,1452590
2024-12-31,17,부산울산본부,6781,1452744
2024-12-31,18,부산울산본부,6654,1452356
2024-12-31,19,부산울산본부,6580,1452499
2024-12-31,20,부산울산본부,6462,1452165
2024-12-31,21,부산울산본부,6325,1452533
2024-12-31,22,부산울산본부,6165,1452690
2024-12-31,23,부산울산본부,6320,1452934
2024-12-31,24,부산울산본부,6112,1453063
2024-12-31,01,경남본부,2830,1165718
2024-12-31,02,경남본부,2745,1166146
2024-12-31,03,경남본부,2700,1166125
2024-12-31,04,경남본부,2622,1166070
2024-12-31,05,경남본부,2654,1165959
2024-12-31,06,경남본부,2759,1165596
2024-12-31,07,경남본부,2899,1165725
2024-12-31,08,경남본부,3156,1165346
2024-12-31,09,경남본부,3434,1165148
2024-12-31,10,경남본부,3345,1164865
2024-12-31,11,경남본부,3257,1164659
2024-12-31,12,경남본부,3161,1164882
2024-12-31,13,경남본부,2888,1165512
2024-12-31,14,경남본부,3050,1166321
2024-12-31,15,경남본부,2966,1166647
2024-12-31,16,경남본부,2826,1166517
2024-12-31,17,경남본부,2787,1166455
2024-12-31,18,경남본부,2808,1166572
2024-12-31,19,경남본부,2864,1166660
2024-12-31,20,경남본부,2852,1166589
2024-12-31,21,경남본부,2813,1166633
2024-12-31,22,경남본부,2775,1166653
2024-12-31,23,경남본부,2820,1166743
2024-12-31,24,경남본부,2849,1166711
2024-12-31,01,제주본부,642,427462
2024-12-31,02,제주본부,608,427502
2024-12-31,03,제주본부,585,427448
2024-12-31,04,제주본부,570,427469
2024-12-31,05,제주본부,567,427504
2024-12-31,06,제주본부,589,427497
2024-12-31,07,제주본부,627,427326
2024-12-31,08,제주본부,687,427144
2024-12-31,09,제주본부,748,427117
2024-12-31,10,제주본부,754,427036
2024-12-31,11,제주본부,748,426971
2024-12-31,12,제주본부,733,427244
2024-12-31,13,제주본부,709,427356
2024-12-31,14,제주본부,715,427387
2024-12-31,15,제주본부,707,427398
2024-12-31,16,제주본부,704,427367
2024-12-31,17,제주본부,723,427319
2024-12-31,18,제주본부,775,427316
2024-12-31,19,제주본부,795,427273
2024-12-31,20,제주본부,788,427341
2024-12-31,21,제주본부,771,427418
2024-12-31,22,제주본부,754,427445
2024-12-31,23,제주본부,741,427501
2024-12-31,24,제주본부,723,427573
2024-12-30,01,경기북부본부,2679,871543
2024-12-30,02,경기북부본부,2545,870224
2024-12-30,03,경기북부본부,2451,869748
2024-12-30,04,경기북부본부,2415,869839
2024-12-30,05,경기북부본부,2450,870077
2024-12-30,06,경기북부본부,2550,870134
2024-12-30,07,경기북부본부,2792,870016
2024-12-30,08,경기북부본부,3208,870122
2024-12-30,09,경기북부본부,3753,870249
2024-12-30,10,경기북부본부,4059,870144
2024-12-30,11,경기북부본부,4158,870741
2024-12-30,12,경기북부본부,4062,870874
2024-12-30,13,경기북부본부,3823,871345
2024-12-30,14,경기북부본부,3887,871620
2024-12-30,15,경기북부본부,3898,872151
2024-12-30,16,경기북부본부,3852,872542
2024-12-30,17,경기북부본부,3844,872578
2024-12-30,18,경기북부본부,3781,872385
2024-12-30,19,경기북부본부,3598,872537
2024-12-30,20,경기북부본부,3461,872488
2024-12-30,21,경기북부본부,3342,872737
2024-12-30,22,경기북부본부,3205,872772
2024-12-30,23,경기북부본부,3106,872704
2024-12-30,24,경기북부본부,3022,872793
2024-12-30,01,남서울본부,2332,1460253
2024-12-30,02,남서울본부,2185,1459072
2024-12-30,03,남서울본부,2094,1458270
2024-12-30,04,남서울본부,2054,1458190
2024-12-30,05,남서울본부,2084,1458408
2024-12-30,06,남서울본부,2260,1458498
2024-12-30,07,남서울본부,2634,1458172
2024-12-30,08,남서울본부,3171,1457782
2024-12-30,09,남서울본부,3793,1457771
2024-12-30,10,남서울본부,4240,1458235
2024-12-30,11,남서울본부,4393,1458636
2024-12-30,12,남서울본부,4314,1458816
2024-12-30,13,남서울본부,4209,1459277
2024-12-30,14,남서울본부,4159,1459576
2024-12-30,15,남서울본부,4093,1460499
2024-12-30,16,남서울본부,4034,1460942
2024-12-30,17,남서울본부,4005,1461688
2024-12-30,18,남서울본부,4013,1461574
2024-12-30,19,남서울본부,3814,1461654
2024-12-30,20,남서울본부,3608,1461299
2024-12-30,21,남서울본부,3389,1461662
2024-12-30,22,남서울본부,3150,1461993
2024-12-30,23,남서울본부,2873,1462482
2024-12-30,24,남서울본부,2630,1462289
2024-12-30,01,경기본부,9272,1921315
2024-12-30,02,경기본부,8982,1918605
2024-12-30,03,경기본부,8793,1917782
2024-12-30,04,경기본부,8720,1917108
2024-12-30,05,경기본부,8788,1917193
2024-12-30,06,경기본부,9126,1916730
2024-12-30,07,경기본부,9846,1916050
2024-12-30,08,경기본부,11118,1915445
2024-12-30,09,경기본부,12859,1915337
2024-12-30,10,경기본부,13671,1915661
2024-12-30,11,경기본부,13846,1915836
2024-12-30,12,경기본부,13597,1916824
2024-12-30,13,경기본부,13003,1917432
2024-12-30,14,경기본부,13254,1917870
2024-12-30,15,경기본부,13216,1918009
2024-12-30,16,경기본부,13041,1918786
2024-12-30,17,경기본부,12909,1919173
2024-12-30,18,경기본부,12548,1919017
2024-12-30,19,경기본부,12149,1918822
2024-12-30,20,경기본부,11778,1918862
2024-12-30,21,경기본부,11327,1917504
2024-12-30,22,경기본부,10941,1918245
2024-12-30,23,경기본부,10640,1918408
2024-12-30,24,경기본부,10379,1918297
2024-12-30,01,서울본부,1853,1371504
2024-12-30,02,서울본부,1724,1370138
2024-12-30,03,서울본부,1638,1369295
2024-12-30,04,서울본부,1605,1369318
2024-12-30,05,서울본부,1633,1369080
2024-12-30,06,서울본부,1765,1369428
2024-12-30,07,서울본부,2054,1369957
2024-12-30,08,서울본부,2448,1369774
2024-12-30,09,서울본부,2918,1369494
2024-12-30,10,서울본부,3265,1369635
2024-12-30,11,서울본부,3402,1370237
2024-12-30,12,서울본부,3362,1370768
2024-12-30,13,서울본부,3267,1371588
2024-12-30,14,서울본부,3224,1372047
2024-12-30,15,서울본부,3181,1372446
2024-12-30,16,서울본부,3143,1373212
2024-12-30,17,서울본부,3124,1372854
2024-12-30,18,서울본부,3123,1372250
2024-12-30,19,서울본부,2971,1372255
2024-12-30,20,서울본부,2820,1372467
2024-12-30,21,서울본부,2662,1372938
2024-12-30,22,서울본부,2483,1372041
2024-12-30,23,서울본부,2273,1371862
2024-12-30,24,서울본부,2088,1371757
2024-12-30,01,인천본부,3432,1289249
2024-12-30,02,인천본부,3263,1288632
2024-12-30,03,인천본부,3194,1288089
2024-12-30,04,인천본부,3141,1288080
2024-12-30,05,인천본부,3167,1288576
2024-12-30,06,인천본부,3283,1288666
2024-12-30,07,인천본부,3604,1288609
2024-12-30,08,인천본부,4314,1288380
2024-12-30,09,인천본부,5281,1288402
2024-12-30,10,인천본부,5736,1288717
2024-12-30,11,인천본부,5822,1289046
2024-12-30,12,인천본부,5680,1289203
2024-12-30,13,인천본부,5295,1289356
2024-12-30,14,인천본부,5439,1289590
2024-12-30,15,인천본부,5469,1290168
2024-12-30,16,인천본부,5381,1290624
2024-12-30,17,인천본부,5317,1290574
2024-12-30,18,인천본부,5161,1290420
2024-12-30,19,인천본부,4922,1290386
2024-12-30,20,인천본부,4763,1290447
2024-12-30,21,인천본부,4515,1290654
2024-12-30,22,인천본부,4288,1290902
2024-12-30,23,인천본부,4096,1290813
2024-12-30,24,인천본부,3928,1290558
